# quat_x, quat_y, quat_z, quat_w, pos_x, pos_y, pos_z, dt
4.022088e-01,5.815738e-01,-5.815738e-01,4.022088e-01,4.000000e-01,-4.000000e-01,2.688850e-01,2.000000e-02
4.006874e-01,5.826231e-01,-5.826231e-01,4.006874e-01,4.000000e-01,-4.000000e-01,2.698840e-01,2.000000e-02
3.991632e-01,5.836683e-01,-5.836683e-01,3.991632e-01,4.000000e-01,-4.000000e-01,2.708820e-01,2.000000e-02
3.976364e-01,5.847096e-01,-5.847096e-01,3.976364e-01,4.000000e-01,-4.000000e-01,2.718800e-01,2.000000e-02
3.961068e-01,5.857469e-01,-5.857469e-01,3.961068e-01,4.000000e-01,-4.000000e-01,2.728790e-01,2.000000e-02
3.945745e-01,5.867802e-01,-5.867802e-01,3.945745e-01,4.000000e-01,-4.000000e-01,2.738770e-01,2.000000e-02
3.930395e-01,5.878094e-01,-5.878094e-01,3.930395e-01,4.000000e-01,-4.000000e-01,2.748750e-01,2.000000e-02
3.915019e-01,5.888347e-01,-5.888347e-01,3.915019e-01,4.000000e-01,-4.000000e-01,2.758740e-01,2.000000e-02
3.899615e-01,5.898559e-01,-5.898559e-01,3.899615e-01,4.000000e-01,-4.000000e-01,2.768720e-01,2.000000e-02
3.884185e-01,5.908731e-01,-5.908731e-01,3.884185e-01,4.000000e-01,-4.000000e-01,2.778700e-01,2.000000e-02
3.868729e-01,5.918863e-01,-5.918863e-01,3.868729e-01,4.000000e-01,-4.000000e-01,2.788690e-01,2.000000e-02
3.853246e-01,5.928954e-01,-5.928954e-01,3.853246e-01,4.000000e-01,-4.000000e-01,2.798670e-01,2.000000e-02
3.837737e-01,5.939005e-01,-5.939005e-01,3.837737e-01,4.000000e-01,-4.000000e-01,2.808650e-01,2.000000e-02
3.822201e-01,5.949015e-01,-5.949015e-01,3.822201e-01,4.000000e-01,-4.000000e-01,2.818640e-01,2.000000e-02
3.806640e-01,5.958984e-01,-5.958984e-01,3.806640e-01,4.000000e-01,-4.000000e-01,2.828620e-01,2.000000e-02
3.791052e-01,5.968913e-01,-5.968913e-01,3.791052e-01,4.000000e-01,-4.000000e-01,2.838600e-01,2.000000e-02
3.775438e-01,5.978801e-01,-5.978801e-01,3.775438e-01,4.000000e-01,-4.000000e-01,2.848590e-01,2.000000e-02
3.759799e-01,5.988648e-01,-5.988648e-01,3.759799e-01,4.000000e-01,-4.000000e-01,2.858570e-01,2.000000e-02
3.744134e-01,5.998455e-01,-5.998455e-01,3.744134e-01,4.000000e-01,-4.000000e-01,2.868550e-01,2.000000e-02
3.728444e-01,6.008220e-01,-6.008220e-01,3.728444e-01,4.000000e-01,-4.000000e-01,2.878540e-01,2.000000e-02
3.712728e-01,6.017944e-01,-6.017944e-01,3.712728e-01,4.000000e-01,-4.000000e-01,2.888520e-01,2.000000e-02
3.696986e-01,6.027627e-01,-6.027627e-01,3.696986e-01,4.000000e-01,-4.000000e-01,2.898500e-01,2.000000e-02
3.681220e-01,6.037269e-01,-6.037269e-01,3.681220e-01,4.000000e-01,-4.000000e-01,2.908490e-01,2.000000e-02
3.665428e-01,6.046870e-01,-6.046870e-01,3.665428e-01,4.000000e-01,-4.000000e-01,2.918470e-01,2.000000e-02
3.649611e-01,6.056430e-01,-6.056430e-01,3.649611e-01,4.000000e-01,-4.000000e-01,2.928450e-01,2.000000e-02
3.633769e-01,6.065948e-01,-6.065948e-01,3.633769e-01,4.000000e-01,-4.000000e-01,2.938440e-01,2.000000e-02
3.617903e-01,6.075424e-01,-6.075424e-01,3.617903e-01,4.000000e-01,-4.000000e-01,2.948420e-01,2.000000e-02
3.602011e-01,6.084859e-01,-6.084859e-01,3.602011e-01,4.000000e-01,-4.000000e-01,2.958400e-01,2.000000e-02
3.586095e-01,6.094253e-01,-6.094253e-01,3.586095e-01,4.000000e-01,-4.000000e-01,2.968390e-01,2.000000e-02
3.570155e-01,6.103605e-01,-6.103605e-01,3.570155e-01,4.000000e-01,-4.000000e-01,2.978370e-01,2.000000e-02
3.554190e-01,6.112915e-01,-6.112915e-01,3.554190e-01,4.000000e-01,-4.000000e-01,2.988350e-01,2.000000e-02
3.538201e-01,6.122184e-01,-6.122184e-01,3.538201e-01,4.000000e-01,-4.000000e-01,2.998340e-01,2.000000e-02
3.522188e-01,6.131410e-01,-6.131410e-01,3.522188e-01,4.000000e-01,-4.000000e-01,3.008320e-01,2.000000e-02
3.506151e-01,6.140595e-01,-6.140595e-01,3.506151e-01,4.000000e-01,-4.000000e-01,3.018300e-01,2.000000e-02
3.490089e-01,6.149738e-01,-6.149738e-01,3.490089e-01,4.000000e-01,-4.000000e-01,3.028290e-01,2.000000e-02
3.474004e-01,6.158839e-01,-6.158839e-01,3.474004e-01,4.000000e-01,-4.000000e-01,3.038270e-01,2.000000e-02
3.457895e-01,6.167897e-01,-6.167897e-01,3.457895e-01,4.000000e-01,-4.000000e-01,3.048250e-01,2.000000e-02
3.441763e-01,6.176914e-01,-6.176914e-01,3.441763e-01,4.000000e-01,-4.000000e-01,3.058240e-01,2.000000e-02
3.425607e-01,6.185889e-01,-6.185889e-01,3.425607e-01,4.000000e-01,-4.000000e-01,3.068220e-01,2.000000e-02
3.409428e-01,6.194821e-01,-6.194821e-01,3.409428e-01,4.000000e-01,-4.000000e-01,3.078200e-01,2.000000e-02
3.393225e-01,6.203711e-01,-6.203711e-01,3.393225e-01,4.000000e-01,-4.000000e-01,3.088190e-01,2.000000e-02
3.376999e-01,6.212558e-01,-6.212558e-01,3.376999e-01,4.000000e-01,-4.000000e-01,3.098170e-01,2.000000e-02
3.360750e-01,6.221363e-01,-6.221363e-01,3.360750e-01,4.000000e-01,-4.000000e-01,3.108150e-01,2.000000e-02
3.344478e-01,6.230126e-01,-6.230126e-01,3.344478e-01,4.000000e-01,-4.000000e-01,3.118140e-01,2.000000e-02
3.328184e-01,6.238845e-01,-6.238845e-01,3.328184e-01,4.000000e-01,-4.000000e-01,3.128120e-01,2.000000e-02
